id,movie_id,company_id
658,93565,7143
659,93565,141156
660,87884,55424
661,87884,48010
662,87884,75650
663,87884,103532
664,87884,46948
665,87884,495636
666,359950,756
667,359950,420822
668,359950,58013
669,359950,39303
670,359950,46718
671,359950,283574
672,359950,465201
673,359950,209925
674,2005151,286113
675,2005151,221959
676,2005151,732571
677,2005151,373725
678,2005151,85751
679,28950,53790
680,2937696,323215
681,2937696,123642
682,2937696,7038
683,3874544,129164
684,2091256,129164
685,2091256,9130
686,2091256,671719
687,93779,43140
688,93779,21056
689,93779,40943
690,4695012,409060
691,4695012,390816
692,91042,23400
693,1205489,255998
694,1205489,112616
695,1205489,62831
696,1205489,10258
697,1205489,108864
698,1205489,257319
699,1205489,2663
700,1276104,5883
701,1276104,314851
702,1276104,112971
703,1276104,20509
704,1276104,251858
705,1276104,236721
706,2932536,178319
707,2932536,332878
708,2932536,608498
709,2932536,19626
710,2932536,309085
711,2932536,611089
712,2932536,437329
713,2932536,504823
714,1355631,370843
715,1355631,174578
716,1355631,87854
717,1355631,637790
718,1355631,276464
719,435705,23400
720,435705,3580
721,435705,11877
722,435705,167271
723,435705,10750
724,435705,163543
725,435705,119535
726,3450958,756
727,3450958,286257
728,3450958,420822
729,368226,99815
730,85995,102282
731,85995,2663
732,448011,46206
733,448011,35535
734,448011,52515
735,448011,20509
736,448011,245613
737,448011,94257
738,448011,265519
739,2406566,42399
740,2406566,224994
741,2406566,23056
742,2406566,186526
743,2406566,116500
744,2406566,1935
745,2406566,525779
746,2406566,276464
747,2406566,638081
748,1082807,1995
749,1082807,690814
750,1082807,179825
751,1082807,743279
752,1082807,98315
753,1082807,556742
754,1082807,7143
755,4034228,319272
756,4034228,506728
757,4034228,358992
758,4034228,453671
759,4034228,496040
760,4034228,509232
761,4034228,203259
762,4034228,113140
763,3731562,2663
764,3731562,159111
765,3731562,562497
766,3731562,176630
767,3733778,206305
768,3733778,611752
769,3733778,179337
770,1355683,285648
771,1355683,449458
772,1355683,307345
773,1355683,121295
774,1355683,506124
775,3066630,241288
776,3066630,9056
777,3066630,213260
778,1051904,121181
779,1051904,479739
780,1051904,227121
781,1051904,94914
782,1051904,50868
783,1051904,35058
784,1051904,11134
785,1051904,26545
786,1051904,108864
787,1540011,173285
788,1540011,84207
789,1540011,203017
790,1540011,188303
791,3616916,86720
792,3616916,234299
793,3616916,1935
794,3616916,489140
795,2474976,166660
796,2474976,443985
797,2474976,126667
798,2474976,554321
799,2474976,373555
800,2474976,91878
801,2474976,109508
802,2474976,309085
803,2474976,441625
804,105793,23400
805,4550098,42399
806,4550098,251339
807,4550098,193161
808,4550098,346224
809,3182558,446665
810,3182558,446665
811,3488710,26545
812,3488710,440338
813,3488710,38131
814,3488710,479739
815,1502404,46206
816,1502404,2572
817,1502404,174505
818,1502404,2572
819,1502404,679340
820,1502404,10750
821,1664894,70005
822,1664894,314375
823,1664894,77044
824,1664894,14456
825,1664894,39268
826,1664894,163162
827,4503598,262387
828,4503598,171098
829,4503598,491746
830,4503598,21497
831,4503598,491746
832,1441395,197272
833,1441395,37450
834,1441395,296441
835,1441395,316150
836,1441395,57965
837,1441395,251858
838,1441395,156991
839,1441395,360608
840,1441395,26228
841,1441395,104811
842,61512,66779
843,1112115,2222
844,1112115,50095
845,97351,119038
846,3312868,454597
847,3312868,234845
848,3312868,332086
