id,name
10582317,Joe Woodgate
10582318,John Crook
10582319,Jason Atkin
4861661,Jamie Shotton
8560587,Chris Bishop
10582320,Paul Clarke
2227426,David Briggs
1201,Mia Farrow
1023,John Cassavetes
2106,Ruth Gordon
85782,Sidney Blackmer
263052,Maurice Evans
895407,Victoria Vetri
446763,Patsy Kelly
176879,Elisha Cook Jr.
377819,Emmaline Henry
1301,Charles Grodin
381000,Hanna Landy
498609,Phil Leeds
552121,D'Urville Martin
814064,Hope Summers
330425,Marianne Gordon
906147,Wende Wagner
12254,Toby Adler
17377,Rutanya Alda
49852,Bill Baldwin
50019,Walter Baldwin
54117,Roy Barcroft
91338,Charlotte Boerner
95023,Gail Bonney
6286395,Yvonne Bouvier
108262,Carol Brewster
109582,Lynn Brinker
111663,Sebastian Brook
145336,William Castle
5233268,Florence Clayton
174986,Gordon Connell
176756,Patricia Ann Conway
1342104,Pearl S. Cooper
183914,Fritzi Jane Courtney
187220,Roger Creed
189739,Jane Crowley
348,Tony Curtis
204912,Joyce Davis
219856,Paul Denton
1204867,Charles Drubin
238834,Alphonso DuBois
279868,Duke Fishman
307530,Janet Garland
327054,Jamie Simone Gomez
333644,Ann Graeff
11772822,William Graeff
356718,John Halloran
361719,Ernest Harada
367627,Marilyn Harvey
409194,Jean Inness
6286396,Al Jepson
426032,Ray Johnson
446435,Irene Kelly
460936,Jack Knight
461660,Mona Knox
488554,Michael Larrain
493278,Louise Lawson
514738,Craig Littler
491120,Ken Luber
6286397,Lorna Luce
1098444,Donna Mantoan
557701,Natalie Masters
583590,Martin Meyers
10145977,Svetlana Mischoff
595312,Elmer Modlin
616152,Floyd Mutrux
635498,Geoffrey Norman
639969,Patricia O'Neal
652366,Robert Osterloh
670539,Josh Peine
676437,Gale Peters
696719,Benito Prezia
707926,Jack Ramage
717699,Joan T. Reilly
731849,George R. Robertson
2512445,William Roderick
767419,George Savalas
785929,Almira Sessions
6286398,Naga Seversen
793491,Michael Shillo
796475,Bruno Sidar
797529,Tom Signorelli
1134424,Michael Stark
2379062,Cathy Steele
843803,Al Szathmary
849623,Clay Tanner
896927,Viki Vigen
900886,Eleanore Vogel
906022,Max Wagner
