id,movie_id,person_id
750,462519,680846
751,462519,35905
752,462519,156320
753,2883448,2461708
754,3606752,270263
755,3606752,703078
756,3606752,687937
757,3229488,4082195
758,3229488,1320717
759,3229488,5408478
760,66999,277807
761,66999,277849
762,66999,718466
763,92695,228300
764,92695,715916
765,92695,710020
766,114369,1825
767,75314,1707
768,332379,925234
769,962726,58302
770,962726,58302
771,106856,808076
772,6684714,3996912
773,97523,2340
774,97523,951206
775,97523,619547
776,119488,255278
777,119488,1338
778,119488,436
779,94894,771512
780,94894,771512
781,94894,223960
782,1719634,1860638
783,1719634,4059916
784,266465,345615
785,266465,771228
786,113277,520
787,88794,390822
788,1601913,138620
789,1601913,2259451
790,1601913,2259451
791,1085492,1061002
792,1085492,664920
793,1925431,4468296
794,1925431,1379545
795,218967,224606
796,218967,919289
797,1675192,2158772
798,3672742,2377436
799,3672742,2379331
800,3672742,2375643
801,5580036,737216
802,5884234,330482
803,6644200,1456816
804,6644200,1399714
805,6644200,1024677
806,377713,53228
807,92718,842464
808,1798709,5069
809,4287348,1720703
810,4287348,1360971
811,4255304,2860882
812,4255304,2725627
813,113419,52209
814,113419,558953
815,3465916,117697
816,3465916,117698
817,98258,1081
818,88128,455
819,4083572,2361509
820,4083572,2721926
821,4083572,821466
822,69704,184
823,69704,441718
824,69704,404754
825,88847,455
826,116483,379056
827,116483,1191
828,90305,455
829,90305,271167
830,90305,301362
831,2452200,1170339
832,2452200,171722
833,5580536,8021776
834,1291570,47489
835,1291570,341372
836,1285009,1052162
837,1285009,2406892
838,5442456,593856
839,5442456,572151
840,5442456,3916149
841,284837,56187
842,284837,563243
843,478970,942367
844,478970,180428
845,478970,570912
846,3532216,818889
847,118689,100
848,118689,193485
849,118689,193485
850,1037705,1729428
851,79844,175
852,79844,597574
853,119174,104335
854,119174,274905
855,2709768,666791
856,2709768,202425
857,2709768,528244
858,120780,1465
859,120780,291082
860,67023,558577
861,67023,558577
862,407887,1184258
863,407887,538320
864,407887,159039
865,110066,223844
866,110066,310782
867,1637688,629272
868,5751998,1532523
869,5751998,1534497
870,74483,277807
871,74483,277849
872,74483,798103
873,107985,363958
874,1590193,2068778
875,1590193,2071379
876,1590193,2068778
877,2394063,1042822
878,109445,3620
879,3960240,2361811
880,7256866,3171941
881,7256866,2634746
882,1603257,2133655
883,1603257,2133655
884,1603257,864128
885,2885364,1281
886,93437,278969
887,93437,421894
888,93437,278969
889,3885524,1231757
890,83929,1081
891,83929,1081
892,2283362,571344
893,2283362,1273099
894,2283362,3298
895,1453405,768959
896,1453405,314870
897,1453405,47916
898,112401,905152
899,112401,905154
900,112401,905152
901,4281724,2093171
902,5792472,1811747
903,380601,154104
904,380601,1033215
905,380601,1036211
906,6598626,6782145
907,1082886,1349522
908,104029,868219
909,289765,365383
910,289765,848217
911,488120,2417
912,488120,1020896
913,488120,2417
914,144117,240627
915,4227282,46480
916,4227282,878953
917,97493,914058
918,110763,456946
919,110763,143129
920,110763,143129
921,439815,348181
922,1981677,134224
923,1981677,3015467
924,389860,466175
925,389860,641479
926,1337032,154104
927,1337032,1036211
928,1337032,1033215
929,430922,251
930,430922,380819
931,430922,748620
932,2452386,122427
933,2452386,5325195
934,3387542,4528537
935,3387542,180506
936,3387542,2406892
937,250687,106563
938,7668870,3792134
939,7668870,3539578
940,82340,118
941,82340,145309
942,1959563,4468296
943,96256,625688
944,96256,118
945,498399,336695
946,2402157,3360218
947,2402157,2244980
948,2402157,1952653
949,1091722,609549
950,119978,1300
951,119978,338
952,119978,380282
953,313443,1152581
954,55614,499626
